,seqnames,start,end,width,strand,idr,summit,rep1_pvalue,rep2_pvalue,rep1_qvalue,rep2_qvalue
peak:4366,chr2,167062430,167063276,847,*,1000,470,89.23721,97.47712,84.87037,4.95367
peak:4367,chr2,113216457,113217516,1060,*,1000,852,79.49567,56.97798,75.54902,26.67152
peak:4368,chr15,101052318,101054410,2093,*,1000,1311,73.4425,54.48209,69.7199,4.16935
peak:4369,chr2,180582575,180583170,596,*,1000,250,73.4425,54.48209,69.7199,4.16935
peak:4370,chr4,155668688,155669520,833,*,1000,243,73.4425,54.48209,69.7199,3.4222
peak:4371,chr7,29518180,29519225,1046,*,1000,872,73.4425,54.48209,69.7199,7.49283
peak:4372,chrX,73672868,73674301,1434,*,1000,513,73.4425,54.48209,69.7199,21.96294
peak:4373,chr18,34887157,34887798,642,*,1000,214,77.97306,58.39847,74.08454,43.93095
peak:4374,chr4,132732225,132732737,513,*,1000,372,77.97306,58.39847,74.08454,23.12058
peak:4375,chr19,40513400,40514091,692,*,1000,205,76.4566,59.82651,72.62501,4.16935
peak:4376,chr14,52196687,52197681,995,*,1000,480,50.53255,27.61072,47.43613,3.4222
peak:4377,chr11,78188376,78189666,1291,*,1000,675,68.85756,72.93222,65.31415,81.2095
peak:4378,chr14,99099334,99100027,694,*,1000,223,67.10225,62.03422,63.61263,39.24029
peak:4379,chr1,78189528,78189963,436,*,1000,168,64.55768,62.03422,61.12064,67.72212
peak:4380,chr15,103014782,103015286,505,*,1000,266,64.55768,62.03422,61.12064,8.54513
peak:4381,chr19,56874022,56874726,705,*,1000,494,64.55768,62.03422,61.12064,93.36972
peak:4382,chr2,93333448,93334709,1262,*,1000,1030,64.55768,62.03422,61.12064,6.22594
peak:4383,chr6,48596299,48597889,1591,*,1000,673,64.55768,35.91419,61.12064,15.32549
peak:4384,chr10,127666255,127667289,1035,*,1000,421,93.32754,69.68298,88.7748,40.06151
peak:4385,chr12,83596704,83597366,663,*,1000,253,66.02148,9.73004,62.54149,4.95367
peak:4386,chr14,70545195,70545678,484,*,1000,175,88.75596,42.52391,84.39793,7.38193
peak:4387,chr15,101977034,101977695,662,*,1000,484,92.61097,84.05133,88.07767,15.32549
peak:4388,chrX,142681327,142682133,807,*,1000,388,55.92718,69.78202,52.71193,13.24495
peak:4389,chr17,78916438,78916904,467,*,1000,169,75.85357,52.99679,72.06317,19.68948
peak:4390,chr19,32711832,32712642,811,*,1000,353,85.646,45.87057,81.4335,2.71365
peak:4391,chr15,43282259,43282884,626,*,1000,137,85.24111,60.75461,81.07664,3.45
peak:4392,chr17,24506493,24506907,415,*,1000,163,74.94638,52.99679,71.17066,5.77031
peak:4393,chr9,14751404,14752438,1035,*,1000,691,74.94638,52.99679,71.17066,8.39444
peak:4394,chr9,77917279,77918021,743,*,1000,330,74.94638,52.99679,71.17066,46.38628
peak:4395,chr9,95559227,95561125,1899,*,1000,794,39.54591,22.94496,36.6454,7.73414
peak:4396,chr2,157203984,157204998,1015,*,1000,442,66.02148,60.50757,62.54149,4.16935
peak:4397,chr6,71632025,71633022,998,*,1000,734,94.46694,69.9964,89.84386,6.54985
peak:4398,chr11,78178031,78179126,1096,*,1000,536,57.92112,99.06743,54.66739,5.20466
peak:4399,chr17,87446944,87447526,583,*,1000,129,68.55637,7.67018,65.01687,15.32549
peak:4400,chr16,5049353,5050873,1521,*,1000,1147,77.08882,58.98888,73.24647,8.39444
peak:4401,chr1,172500065,172501315,1251,*,1000,236,67.1164,29.425,63.6228,7.49283
peak:4402,chr8,70892105,70892976,872,*,1000,538,57.34684,44.27554,54.09892,4.16935
peak:4403,chr16,35022248,35023118,871,*,1000,212,81.02436,62.57541,77.01734,29.19894
peak:4404,chr4,132421931,132422722,792,*,1000,257,81.02436,62.57541,77.01734,7.49283
peak:4405,chr17,28232488,28233126,639,*,1000,360,81.45174,64.15462,77.43271,56.88565
peak:4406,chr8,94214363,94214994,632,*,1000,299,81.45174,64.15462,77.43271,6.22594
peak:4407,chr5,107724501,107725999,1499,*,1000,755,48.94904,26.69236,45.88079,4.95367
peak:4408,chr11,100939081,100939589,509,*,1000,223,76.4566,51.52024,72.62501,5.77031
peak:4409,chr5,110809512,110810241,730,*,1000,352,76.4566,51.52024,72.62501,7.08345
peak:4410,chr7,118855432,118856179,748,*,1000,518,76.4566,51.52024,72.62501,56.88778
peak:4411,chr9,57072185,57073447,1263,*,1000,440,76.4566,51.52024,72.62501,81.64526
peak:4412,chrX,7750489,7751062,574,*,1000,322,76.4566,51.52024,72.62501,4.1065
peak:4413,chr18,9449319,9450443,1125,*,1000,789,71.35353,72.99839,67.72212,4.16935
peak:4414,chr1,171411209,171411971,763,*,1000,426,73.30594,69.60898,69.61517,6.61759
peak:4415,chr1,167283535,167284050,516,*,1000,315,67.49223,58.98888,63.96826,76.51599
peak:4416,chr16,17815282,17816032,751,*,1000,434,67.49223,58.98888,63.96826,42.56947
peak:4417,chr4,132509522,132510611,1090,*,1000,713,67.49223,40.04667,63.96826,35.01904
peak:4418,chr6,91473058,91473589,532,*,1000,354,96.62765,35.91419,91.86305,71.5662
peak:4419,chr4,59805655,59806580,926,*,1000,186,103.02013,54.95183,97.90819,9.45525
peak:4420,chr17,88529875,88530642,768,*,1000,274,67.51756,74.01369,63.99014,5.03264
peak:4421,chr1,151755325,151756021,697,*,1000,152,76.10726,88.85767,72.31284,3.18469
peak:4422,chr11,101245983,101246816,834,*,1000,385,58.77417,66.66051,55.49189,6.61759
peak:4423,chr5,35678928,35679686,759,*,1000,411,58.77417,66.66051,55.49189,10.26936
peak:4424,chr10,82985052,82986003,952,*,1000,284,70.20347,71.35359,66.61398,81.4335
peak:4425,chr10,40683028,40683716,689,*,1000,470,61.13844,65.11083,57.80941,11.24113
peak:4426,chr6,128842655,128843190,536,*,1000,388,68.96981,60.87519,65.39683,17.47617
peak:4427,chr18,6135374,6136489,1116,*,1000,343,71.94505,55.5704,68.27406,24.29132
peak:4428,chr15,5242118,5243018,901,*,1000,306,83.54704,51.52024,79.45286,3.19711
peak:4429,chr16,10313262,10314154,893,*,1000,604,77.97306,50.05264,74.08454,4.95367
peak:4430,chr15,36164612,36165159,548,*,1000,344,74.27581,79.0242,70.54057,3.4222
peak:4431,chr19,7416688,7418547,1860,*,1000,460,86.16638,78.11089,81.94543,16.39248
peak:4432,chr5,142814799,142815484,686,*,1000,398,68.96981,57.4783,65.39683,5.77031
peak:4433,chr8,105254137,105255162,1026,*,1000,467,77.97306,65.34326,74.08454,35.36277
peak:4434,chr8,72420834,72421960,1127,*,1000,517,63.10092,63.12205,59.70399,11.11812
peak:4435,chr9,66592148,66593677,1530,*,1000,511,79.40005,57.4783,75.48932,5.77031
peak:4436,chr11,69803616,69804420,805,*,1000,333,74.20921,70.02369,70.477,23.12058
peak:4437,chr8,92960370,92961511,1142,*,1000,284,60.20905,9.57146,56.88778,27.01421
peak:4438,chr3,146220730,146221501,772,*,1000,284,60.20905,65.11083,56.88778,12.23227
peak:4439,chr15,98777704,98778277,574,*,1000,305,88.75596,41.44593,84.39793,4.95367
peak:4440,chr17,56997320,56997849,530,*,1000,164,73.4425,54.08471,69.7199,25.47523
peak:4441,chr16,18248013,18249318,1306,*,1000,705,100.2124,76.18889,95.27266,3.8756
peak:4442,chr6,54816479,54817629,1151,*,1000,317,78.53741,75.23133,74.63892,39.24029
peak:4443,chr16,94327892,94328654,763,*,1000,599,79.49567,48.59417,75.54902,13.24495
peak:4444,chr12,32060481,32061577,1097,*,1000,853,85.64218,88.36656,81.4335,3.4222
peak:4445,chr17,46160970,46161270,301,*,1000,144,64.55768,61.5958,61.12064,13.24495
peak:4446,chr1,166001368,166003667,2300,*,1000,1168,67.14135,44.76574,63.64766,71.17066
peak:4447,chr6,5298110,5298558,449,*,1000,225,79.9257,92.92968,75.97395,107.17617
peak:4448,chr19,4191861,4192775,915,*,1000,421,72.46998,76.78059,68.79468,9.32069
peak:4449,chr19,11965542,11966518,977,*,1000,341,75.07857,63.86786,71.30039,7.49283
peak:4450,chr9,108596844,108597907,1064,*,1000,700,61.65134,40.04667,58.2932,8.39444
peak:4451,chr1,136259653,136261046,1394,*,1000,812,61.65134,63.56868,58.2932,2.71365
peak:4452,chr3,88335835,88336824,990,*,1000,655,61.65134,63.56868,58.2932,4.95367
peak:4453,chr5,33982795,33984112,1318,*,1000,693,61.65134,63.56868,58.2932,6.61759
peak:4454,chr9,99568158,99569056,899,*,1000,347,61.65134,63.56868,58.2932,5.77031
peak:4455,chr8,79028958,79030471,1514,*,1000,700,96.62765,51.33474,91.86305,4.16935
peak:4456,chr11,106919892,106921090,1199,*,1000,811,83.77259,79.30674,79.67541,17.11843
peak:4457,chr17,27655363,27656112,750,*,1000,172,53.11144,9.57146,49.95972,7.49283
peak:4458,chr4,116220737,116221603,867,*,1000,219,55.92718,27.97024,52.71193,6.61759
peak:4459,chr16,22009429,22010079,651,*,1000,273,86.54003,55.0219,82.30895,47.23287
peak:4460,chr8,84715781,84716468,688,*,1000,314,85.646,49.99348,81.4335,80.1752
peak:4461,chr6,97148425,97149180,756,*,1000,460,91.88833,56.44444,87.36462,23.12058
peak:4462,chr12,36041810,36042777,968,*,1000,659,82.55902,52.7631,78.48618,5.50024
peak:4463,chr6,58640345,58640790,446,*,1000,264,82.55902,52.7631,78.48618,23.12058
peak:4464,chr19,3323120,3324186,1067,*,1000,202,57.56797,12.62705,54.31543,4.95367
peak:4465,chr3,31094016,31095925,1910,*,1000,914,96.34849,86.05629,91.63582,4.16935
peak:4466,chr6,95718222,95719075,854,*,1000,363,68.52247,68.41219,64.98427,17.30957
peak:4467,chr12,112941847,112942380,534,*,1000,146,77.97306,56.97798,74.08454,4.95367
peak:4468,chr2,128698781,128699478,698,*,1000,171,71.94505,54.48209,68.27406,18.57489
peak:4469,chr4,19569460,19570252,793,*,1000,474,71.94505,54.48209,68.27406,4.95367
peak:4470,chr5,52115592,52116352,761,*,1000,319,71.94505,54.48209,68.27406,9.32069
peak:4471,chr7,87246395,87246901,507,*,1000,254,71.94505,54.48209,68.27406,3.4222
peak:4472,chr7,80026929,80027580,652,*,1000,178,69.93488,63.56868,66.35092,23.12058
peak:4473,chr12,52097652,52097988,337,*,1000,186,65.48154,69.9964,62.03578,58.2932
peak:4474,chr4,123239463,123240226,764,*,1000,171,74.94638,59.82651,71.17066,47.23287
peak:4475,chr7,45570137,45570674,538,*,1000,284,88.83433,56.97798,84.46881,11.24113
peak:4476,chr6,6578209,6578649,441,*,1000,204,71.94505,62.7047,68.27406,18.57489
peak:4477,chr16,27388753,27389379,627,*,1000,391,74.27581,73.35041,70.54057,4.95367
peak:4478,chr1,55236976,55237774,799,*,1000,259,86.7878,68.51937,82.55188,10.26936
peak:4479,chr5,146832900,146833485,586,*,1000,356,76.4566,51.13928,72.62501,24.29132
peak:4480,chr8,123477595,123478216,622,*,1000,405,74.94638,59.80226,71.17066,18.57489
peak:4481,chr8,109868268,109869405,1138,*,1000,453,63.10092,62.03422,59.70399,7.73414
peak:4482,chr9,67840130,67840628,499,*,1000,189,63.10092,62.03422,59.70399,87.36462
peak:4483,chr11,116030240,116030756,517,*,1000,186,58.30988,79.31507,55.0519,2.71365
peak:4484,chr17,29489952,29492235,2284,*,1000,737,99.72308,9.57146,94.83965,5.77031
peak:4485,chr18,60747872,60749063,1192,*,1000,531,69.66448,74.0758,66.08838,5.77031
peak:4486,chr10,80754898,80755769,872,*,1000,211,95.35778,87.71556,90.67085,5.50024
peak:4487,chr2,25210997,25211467,471,*,1000,295,74.70485,57.4783,70.96288,11.24113
peak:4488,chr15,77840782,77842630,1849,*,1000,1197,86.22202,11.07592,82.00076,6.61759
peak:4489,chr4,45084102,45084902,801,*,1000,470,60.58159,90.73288,57.25861,5.77031
peak:4490,chr1,177441423,177443309,1887,*,1000,678,49.98482,105.83508,46.90736,11.26237
peak:4491,chr4,119108472,119109401,930,*,1000,642,65.71675,66.66051,62.26535,77.43271
peak:4492,chr9,106788796,106789289,494,*,1000,317,65.71675,66.66051,62.26535,3.4222
peak:4493,chr1,178530055,178530942,888,*,1000,537,73.4425,52.99679,69.7199,4.12958
peak:4494,chr13,110394491,110395629,1139,*,1000,386,73.4425,52.99679,69.7199,9.36047
peak:4495,chr2,167661021,167662159,1139,*,1000,554,59.96186,87.43986,56.66684,6.61759
peak:4496,chr13,101767068,101768891,1824,*,1000,892,99.81362,52.45809,94.87624,103.99274
peak:4497,chr9,96119193,96119818,626,*,1000,290,77.97306,49.67989,74.08454,78.48618
peak:4498,chr16,90220384,90221331,948,*,1000,685,90.31938,57.73921,85.88361,75.54902
peak:4499,chr2,11501178,11502239,1062,*,1000,295,82.55902,6.76587,78.48618,3.4222
peak:4500,chrX,94234239,94235547,1309,*,1000,546,64.32362,67.99677,60.91262,30.33007
peak:4501,chr6,120293815,120295087,1273,*,1000,656,64.55768,60.50757,61.12064,9.36047
peak:4502,chr8,107095980,107096620,641,*,1000,320,64.55768,60.50757,61.12064,44.53586
peak:4503,chr8,104340531,104341382,852,*,1000,302,77.97306,7.67018,74.08454,15.32549
peak:4504,chr12,110446336,110447741,1406,*,1000,909,87.34703,73.77356,83.05598,3.4222
peak:4505,chr8,120487433,120488468,1036,*,1000,164,55.92718,68.21762,52.71193,5.77031
peak:4506,chr7,27329364,27329844,481,*,1000,259,84.0996,44.27554,79.95772,7.73414
peak:4507,chr11,77512799,77513721,923,*,1000,483,79.49567,62.57541,75.54902,25.47523
peak:4508,chr6,52639774,52640443,670,*,1000,417,78.53741,57.06451,74.63892,3.19711
peak:4509,chr1,16665136,16665651,516,*,1000,232,73.88175,62.03422,70.15554,52.71193
peak:4510,chr11,101784152,101785390,1239,*,1000,507,74.94638,51.52024,71.17066,35.36277
peak:4511,chr17,72917590,72919568,1979,*,1000,501,52.06304,14.78276,48.93685,7.86661
peak:4512,chr2,48813600,48814562,963,*,1000,316,66.04711,104.96416,62.56661,15.32549
peak:4513,chr19,46304361,46306090,1730,*,1000,1229,52.09647,34.55941,48.96779,14.27658
peak:4514,chr5,72913932,72915417,1486,*,1000,581,78.87462,59.94091,74.97216,91.86305
peak:4515,chr15,76034166,76035141,976,*,1000,504,66.02148,58.98888,62.54149,21.96294
peak:4516,chr5,129908471,129908974,504,*,1000,205,66.02148,58.98888,62.54149,5.77031
peak:4517,chr1,45795476,45795821,346,*,1000,174,69.66448,65.11083,66.08838,15.32549
peak:4518,chr15,84167634,84168518,885,*,1000,336,95.04253,35.91419,90.35994,4.12958
peak:4519,chr13,94788761,94789520,760,*,1000,475,77.97306,63.95603,74.08454,4.16935
peak:4520,chr12,69724462,69725307,846,*,1000,476,77.08882,57.4783,73.24647,40.55143
peak:4521,chr16,11133984,11134685,702,*,1000,449,66.18354,72.93222,62.69963,37.9388
peak:4522,chr13,58358682,58359378,697,*,1000,200,57.34684,66.66051,54.09892,2.71365
peak:4523,chr11,103966550,103967168,619,*,1000,394,85.646,42.85563,81.4335,12.23227
peak:4524,chr4,109665701,109666528,828,*,1000,262,67.1164,65.11083,63.6228,10.26936
peak:4525,chr11,60726792,60727549,758,*,1000,250,67.49223,60.87519,63.96826,25.47523
peak:4526,chr11,96977098,96977805,708,*,1000,184,87.58714,71.82431,83.29512,12.23227
peak:4527,chr15,77956465,77956910,446,*,1000,238,87.34703,65.34326,83.05598,58.85444
peak:4528,chr11,97150427,97151505,1079,*,1000,439,48.94904,29.26243,45.88079,4.16935
peak:4529,chr3,145653092,145653880,789,*,1000,486,76.4566,50.05264,72.62501,47.93131
peak:4530,chr8,111643439,111644046,608,*,1000,387,76.4566,50.05264,72.62501,4.95367
peak:4531,chr6,52230398,52230895,498,*,1000,284,81.02436,46.78868,77.01734,10.26936
peak:4532,chr8,94875809,94876578,770,*,1000,534,69.75458,76.11019,66.17725,11.65331
peak:4533,chr14,30654327,30654640,314,*,1000,160,91.26215,54.51237,86.79945,16.39248
peak:4534,chr11,97186862,97188785,1924,*,1000,932,82.30953,70.95648,78.27824,4.95367
peak:4535,chr1,182282078,182282942,865,*,1000,518,82.55902,50.80547,78.48618,9.32069
peak:4536,chr17,24251092,24251851,760,*,1000,203,67.49223,57.4783,63.96826,1.13004
peak:4537,chr19,57314355,57315097,743,*,1000,573,67.49223,57.4783,63.96826,13.24495
peak:4538,chr2,30771330,30771979,650,*,1000,253,67.49223,57.4783,63.96826,82.91378
peak:4539,chr4,134128337,134129375,1039,*,1000,279,67.49223,8.60608,63.96826,9.36047
peak:4540,chr5,107721009,107722128,1120,*,1000,420,67.49223,57.4783,63.96826,37.9388
peak:4541,chr8,121116171,121116936,766,*,1000,283,67.49223,57.4783,63.96826,15.32549
peak:4542,chr9,82829728,82830383,656,*,1000,410,67.49223,38.65811,63.96826,56.88565
peak:4543,chr18,12941528,12941960,433,*,1000,175,90.1893,74.0758,85.80269,4.16935
peak:4544,chr1,75381540,75382603,1064,*,1000,631,79.78366,72.99839,75.83327,8.39444
peak:4545,chr5,24425003,24425893,891,*,1000,203,59.41681,90.73288,56.12833,2.04987
peak:4546,chr6,28423391,28424221,831,*,1000,189,88.04475,61.20152,83.74581,14.27658
peak:4547,chr17,35861043,35861596,554,*,1000,378,77.97306,52.5813,74.08454,5.77031
peak:4548,chr15,81190076,81190868,793,*,1000,577,81.4138,76.36733,77.40136,12.23227
peak:4549,chr16,32277389,32277914,526,*,1000,246,76.16386,64.15462,72.36829,14.27658
peak:4550,chr19,56721609,56724280,2672,*,1000,1333,58.77417,65.11083,55.49189,6.61759
peak:4551,chr7,135715837,135716811,975,*,1000,561,58.77417,65.11083,55.49189,15.28568
peak:4552,chr8,25976306,25976854,549,*,1000,233,58.77417,65.11083,55.49189,13.16389
peak:4553,chr14,121378254,121379966,1713,*,1000,1063,90.35014,113.25199,85.90644,44.53586
peak:4554,chr6,52244944,52245614,671,*,1000,220,71.94505,54.08471,68.27406,4.16935
peak:4555,chr17,53689071,53689868,798,*,1000,304,56.01275,14.63137,52.79659,9.32069
peak:4556,chr11,106779087,106779655,569,*,1000,299,82.30953,58.36407,78.27824,5.77031
peak:4557,chr16,30236313,30236605,293,*,1000,160,70.01711,57.4783,66.43142,6.22594
peak:4558,chr9,74861637,74863140,1504,*,1000,304,31.87298,10.56447,29.09882,87.36462
peak:4559,chr1,93511605,93512552,948,*,1000,508,87.34703,80.88589,83.05598,11.24113
peak:4560,chr4,55349579,55350803,1225,*,1000,625,71.80514,58.98888,68.16524,87.36462
peak:4561,chr3,89378342,89378965,624,*,1000,234,88.83433,48.59417,84.46881,4.95367
peak:4562,chr10,60106216,60107816,1601,*,1000,1075,68.96981,55.97599,65.39683,9.32069
peak:4563,chr13,44730785,44731240,456,*,1000,338,68.96981,55.97599,65.39683,7.74907
peak:4564,chr16,18586036,18587279,1244,*,1000,881,68.96981,55.97599,65.39683,5.77031
peak:4565,chr19,53676696,53677773,1078,*,1000,311,68.96981,55.97599,65.39683,17.47617
peak:4566,chr2,121289356,121289911,556,*,1000,316,68.96981,55.97599,65.39683,104.66099
peak:4567,chr6,112696301,112696730,430,*,1000,208,68.96981,55.97599,65.39683,35.36277
peak:4568,chr6,134926761,134927750,990,*,1000,339,68.96981,55.97599,65.39683,19.68948
peak:4569,chr15,97766537,97768538,2002,*,1000,1521,68.96981,38.65811,65.39683,35.36277
peak:4570,chr12,69681287,69682412,1126,*,1000,506,61.16757,85.80241,57.83796,8.39444
peak:4571,chr14,32462835,32465393,2559,*,1000,1928,34.38746,9.57146,31.57105,5.77031
peak:4572,chr14,122464068,122465313,1246,*,1000,544,60.20905,63.56868,56.88778,19.45308
peak:4573,chr2,32259673,32260233,561,*,1000,274,60.20905,63.56868,56.88778,31.55633
peak:4574,chr11,103809435,103810665,1231,*,1000,766,57.34684,50.05264,54.09892,34.08881
peak:4575,chr2,172999871,173000733,863,*,1000,483,73.01099,74.46685,69.323,8.39444
peak:4576,chr16,5013185,5013631,447,*,1000,257,87.58714,65.61158,83.29512,49.95972
peak:4577,chr12,76709385,76710980,1596,*,1000,598,45.02237,21.72655,42.02925,16.39248
peak:4578,chr12,54795127,54795939,813,*,1000,487,65.2057,66.66051,61.76186,10.26936
peak:4579,chr1,33757369,33757990,622,*,1000,399,54.66565,85.80241,51.48076,72.06317
peak:4580,chr1,97976806,97977253,448,*,1000,262,73.4425,68.1372,69.7199,100.29803
peak:4581,chr3,35753808,35754729,922,*,1000,443,73.4425,68.1372,69.7199,4.16935
peak:4582,chr15,3582958,3583539,582,*,1000,158,107.02221,40.00511,101.70835,4.95367
peak:4583,chr6,49319148,49319683,536,*,1000,298,95.37849,64.12906,90.69122,5.77031
peak:4584,chr16,18347891,18348996,1106,*,1000,535,70.45412,54.48209,66.83325,31.57105
peak:4585,chr3,127789585,127790225,641,*,1000,422,70.45412,54.48209,66.83325,17.47617
peak:4586,chr17,48408947,48410190,1244,*,1000,174,74.94638,58.39847,71.17066,18.57489
peak:4587,chr15,103537011,103538246,1236,*,1000,995,54.51533,42.85563,51.33245,4.16935
peak:4588,chr9,75441251,75441990,740,*,1000,421,79.49567,54.13764,75.54902,4.16935
peak:4589,chr8,70315655,70316622,968,*,1000,320,64.32362,66.66051,60.91262,9.32069
peak:4590,chr5,31251327,31252228,902,*,1000,583,61.65134,62.03422,58.2932,4.16935
peak:4591,chr7,132812900,132814127,1228,*,1000,829,61.65134,62.03422,58.2932,6.7853
peak:4592,chr9,48480095,48480724,630,*,1000,426,61.65134,62.03422,58.2932,6.61759
peak:4593,chr2,25546488,25547126,639,*,1000,333,61.85776,66.66051,58.49833,4.95367
peak:4594,chr1,84284293,84284875,583,*,1000,323,66.02148,67.07549,62.54149,7.73414
peak:4595,chr5,64092764,64093549,786,*,1000,284,82.55902,45.87057,78.48618,5.33332
peak:4596,chr8,84976095,84976859,765,*,1000,383,89.72579,103.15413,85.34306,89.24744
peak:4597,chr8,88627039,88628008,970,*,1000,546,71.94505,52.99679,68.27406,56.31431
peak:4598,chr14,61360112,61360559,448,*,1000,169,68.46497,76.11019,64.93145,18.57489
peak:4599,chr17,56079506,56080063,558,*,1000,262,55.198,89.08338,52.00795,21.96294
peak:4600,chr10,71284595,71285531,937,*,1000,570,95.04253,56.1618,90.35994,17.47617
peak:4601,chr10,117629143,117629904,762,*,1000,236,63.10092,60.50757,59.70399,7.38193
peak:4602,chr14,104467244,104468338,1095,*,1000,800,63.10092,60.50757,59.70399,21.96294
peak:4603,chr16,78301362,78302289,928,*,1000,702,63.10092,60.50757,59.70399,13.24495
peak:4604,chr4,106827729,106828248,520,*,1000,363,63.10092,60.50757,59.70399,78.48618
peak:4605,chr4,114405883,114407053,1171,*,1000,553,63.10092,60.50757,59.70399,75.54902
peak:4606,chr11,32642519,32643486,968,*,1000,439,64.92159,79.31507,61.47924,93.92995
peak:4607,chr1,135765739,135766816,1078,*,1000,497,82.56979,79.55933,78.49415,79.95772
peak:4608,chr4,70410064,70410571,508,*,1000,230,82.55902,44.27554,78.48618,10.26936
peak:4609,chr4,42999604,43000244,641,*,1000,369,74.35237,51.52024,70.61515,75.54902
peak:4610,chr12,72760531,72762006,1476,*,1000,657,101.41434,62.4873,96.38834,10.26936
peak:4611,chr10,128565236,128566541,1306,*,1000,888,54.46115,39.94528,51.29656,7.49283
peak:4612,chr2,70661391,70662016,626,*,1000,269,77.46841,71.48006,73.62022,16.39248
peak:4613,chr4,122960691,122961377,687,*,1000,313,73.4425,51.52024,69.7199,8.39444
peak:4614,chr17,56626413,56627448,1036,*,1000,374,56.10762,72.93222,52.88814,10.26936
peak:4615,chr10,62230482,62231502,1021,*,1000,699,68.85756,69.78202,65.31415,9.32069
peak:4616,chr17,87107084,87108411,1328,*,1000,664,78.53741,72.37539,74.63892,44.53586
peak:4617,chr10,82860263,82860748,486,*,1000,316,64.55768,58.98888,61.12064,35.36277
peak:4618,chr11,108425167,108425783,617,*,1000,284,64.55768,58.98888,61.12064,12.23227
peak:4619,chr4,86874054,86874772,719,*,1000,254,64.55768,58.98888,61.12064,5.77031
peak:4620,chr14,63122300,63123043,744,*,1000,269,75.64455,70.29663,71.85835,63.79293
peak:4621,chr11,117848843,117849642,800,*,1000,390,62.21821,74.51778,58.85444,13.24495
peak:4622,chr15,98004377,98005001,625,*,1000,383,62.21821,74.51778,58.85444,4.95367
peak:4623,chr18,12305376,12305910,535,*,1000,353,62.21821,74.51778,58.85444,3.4222
peak:4624,chr2,91963132,91964086,955,*,1000,544,68.85756,80.54604,65.31415,4.16935
peak:4625,chr1,134415251,134416020,770,*,1000,295,80.26475,89.85323,76.30531,34.08881
peak:4626,chr17,34671024,34672883,1860,*,1000,1275,55.92718,66.66051,52.71193,4.95367
peak:4627,chr3,106482377,106482986,610,*,1000,160,55.73727,79.31507,52.54267,4.16935
peak:4628,chr5,33935788,33936411,624,*,1000,245,73.88175,60.50757,70.15554,5.77031
peak:4629,chr9,63377568,63377981,414,*,1000,196,76.28415,76.43068,72.48733,7.49283
peak:4630,chr3,66220633,66221147,515,*,1000,285,61.55734,68.21762,58.22245,17.13434
peak:4631,chr1,143776633,143777716,1084,*,1000,461,74.94638,50.05264,71.17066,9.32069
peak:4632,chr2,33886943,33887906,964,*,1000,461,85.86505,80.88589,81.64526,52.71193
peak:4633,chr4,135855644,135856800,1157,*,1000,724,70.81023,63.48377,67.18723,8.54513
peak:4634,chr17,26972797,26973477,681,*,1000,481,77.6059,80.54604,73.75523,4.16935
peak:4635,chr10,85386647,85388648,2002,*,1000,1269,66.02148,57.4783,62.54149,4.58875
peak:4636,chr11,60220289,60220804,516,*,1000,158,66.02148,57.4783,62.54149,9.32069
peak:4637,chr16,5203293,5204117,825,*,1000,463,66.02148,57.4783,62.54149,9.32069
peak:4638,chr17,45733824,45734226,403,*,1000,165,66.02148,57.4783,62.54149,8.39444
peak:4639,chr3,9004000,9004779,780,*,1000,306,66.02148,57.4783,62.54149,8.39444
peak:4640,chr5,138263395,138264067,673,*,1000,375,66.02148,57.4783,62.54149,27.04397
peak:4641,chr10,127090984,127092262,1279,*,1000,767,72.91267,66.66051,69.22681,3.45
peak:4642,chr9,59750718,59751563,846,*,1000,607,72.91267,66.66051,69.22681,83.05598
peak:4643,chr8,84011119,84012023,905,*,1000,463,86.7878,75.23133,82.55188,4.16935
peak:4644,chr6,30401838,30402268,431,*,1000,176,66.32926,63.56868,62.84461,2.31563
peak:4645,chr14,60378102,60379293,1192,*,1000,185,31.87298,24.17908,29.09882,65.39683
peak:4646,chr13,83730596,83731554,959,*,1000,593,57.34684,65.11083,54.09892,2.71365
peak:4647,chr2,155133396,155134198,803,*,1000,491,57.34684,65.11083,54.09892,7.73414
peak:4648,chr7,25077166,25077713,548,*,1000,253,57.34684,65.11083,54.09892,7.49283
peak:4649,chr9,119578254,119579374,1121,*,1000,745,57.34684,65.11083,54.09892,4.95367
peak:4650,chr10,79777029,79777556,528,*,1000,216,67.1164,63.56868,63.6228,4.16935
peak:4651,chr13,74061930,74062463,534,*,1000,249,67.1164,63.56868,63.6228,30.33007
peak:4652,chr5,33722908,33724246,1339,*,1000,445,67.1164,63.56868,63.6228,110.137
peak:4653,chr6,86195000,86195954,955,*,1000,408,67.1164,63.56868,63.6228,27.87908
peak:4654,chr17,26946515,26946990,476,*,1000,271,59.60617,76.11019,56.31431,9.32069
peak:4655,chr10,33950914,33951212,299,*,1000,150,68.9304,61.97102,65.38563,4.16935
peak:4656,chr13,76383883,76385328,1446,*,1000,414,48.94904,17.02265,45.88079,6.61759
peak:4657,chr4,152338305,152339617,1313,*,1000,968,48.94904,41.44593,45.88079,64.09057
peak:4658,chr1,75360065,75361070,1006,*,1000,429,76.4566,48.59417,72.62501,21.96294
peak:4659,chr8,72723188,72723693,506,*,1000,193,57.39726,68.21762,54.1484,42.56947
