"","seqnames","start","end","width","strand","idr","signalValue","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","ens_transcript",".","distanceToTSS","ens_genes","gene_symbol","name"
"4425","chr10",40683027,40683716,690,"*",1000,40.18976,"Promoter",10,40683282,40811083,127802,1,"327747","ENSMUST00000058747","3",0,"ENSMUSG00000045555","Mettl24","peak:4425"
"4426","chr6",128842654,128843190,537,"*",1000,40.18822,"Exon (ENSMUST00000203263.1/ENSMUST00000203263.1, exon 1 of 2)",6,128813706,128826331,12626,2,"80782","ENSMUST00000032472","10",-16323,"ENSMUSG00000079298","Klrb1b","peak:4426"
"4427","chr18",6135373,6136489,1117,"*",1000,40.18765,"Promoter",18,6024785,6135907,111123,2,"75415","ENSMUST00000077128","12",0,"ENSMUSG00000041225","Arhgap12","peak:4427"
"4428","chr15",5242117,5243018,902,"*",1000,40.18313,"Promoter",15,5206661,5242710,36050,2,"19219","ENSMUST00000133966","1",0,"ENSMUSG00000039942","Ptger4","peak:4428"
"4429","chr16",10313261,10314154,894,"*",1000,40.17417,"Promoter",16,10281749,10313968,32220,2,"13731","ENSMUST00000078357","4",0,"ENSMUSG00000022505","Emp2","peak:4429"
"4430","chr15",36164611,36165159,549,"*",1000,40.17174,"Promoter",15,36150060,36164884,14825,2,"78803","ENSMUST00000058643","3",0,"ENSMUSG00000048230","Fbxo43","peak:4430"
"4431","chr19",7416687,7418547,1861,"*",1000,40.15642,"Promoter",19,7417625,7425904,8280,1,"108899","ENSMUST00000159348","2",0,"ENSMUSG00000053080","2700081O15Rik","peak:4431"
"4432","chr5",142814798,142815484,687,"*",1000,40.15495,"5' UTR",5,142793005,142817380,24376,2,"231861","ENSMUST00000198181","1",1896,"ENSMUSG00000039477","Tnrc18","peak:4432"
"4433","chr8",105254136,105255162,1027,"*",1000,40.14969,"Promoter",8,105252638,105255153,2516,2,"97440","ENSMUST00000136822","2",0,"ENSMUSG00000069920","B3gnt9","peak:4433"
"4434","chr8",72420833,72421960,1128,"*",1000,40.14621,"Promoter",8,72340999,72421460,80462,2,"13859","ENSMUST00000163643","2",0,"ENSMUSG00000006276","Eps15l1","peak:4434"
"4435","chr9",66592147,66593677,1531,"*",1000,40.14573,"Promoter",9,66514637,66593142,78506,2,"235441","ENSMUST00000127569","7",0,"ENSMUSG00000032376","Usp3","peak:4435"
"4436","chr11",69803615,69804420,806,"*",1000,40.14278,"Exon (ENSMUST00000051025.4/380705, exon 2 of 2)",11,69803603,69805624,2022,2,"380705","ENSMUST00000051025","4",1204,"ENSMUSG00000089876","Tmem102","peak:4436"
"4437","chr8",92960369,92961511,1143,"*",1000,40.13573,"Promoter",8,92960933,93001667,40735,1,"20538","ENSMUST00000072939","7",0,"ENSMUSG00000055368","Slc6a2","peak:4437"
"4438","chr3",146220729,146221501,773,"*",1000,40.13572,"Promoter",3,146220963,146286186,65224,1,"65086","ENSMUST00000039164","3",0,"ENSMUSG00000036832","Lpar3","peak:4438"
"4439","chr15",98777703,98778277,575,"*",1000,40.13339,"Promoter",15,98770712,98778143,7432,2,"22410","ENSMUST00000228546","1",0,"ENSMUSG00000022996","Wnt10b","peak:4439"
"4440","chr17",56997319,56997849,531,"*",1000,40.13209,"Promoter",17,56997339,56999311,1973,1,"66400","ENSMUST00000074141","13",0,"ENSMUSG00000002661","Alkbh7","peak:4440"
"4441","chr16",18248012,18249318,1307,"*",1000,40.12687,"Promoter",16,18248679,18253502,4824,1,"15547","ENSMUST00000127239","7",0,"ENSMUSG00000022721","Trmt2a","peak:4441"
"4442","chr6",54816478,54817629,1152,"*",1000,40.11913,"Promoter",6,54816916,54893500,76585,1,"387524","ENSMUST00000079869","12",0,"ENSMUSG00000058446","Znrf2","peak:4442"
"4443","chr16",94327891,94328654,764,"*",1000,40.11416,"Promoter",16,94328420,94336935,8516,1,"170765","ENSMUST00000023660","8",0,"ENSMUSG00000022941","Ripply3","peak:4443"
"4444","chr12",32060480,32061577,1098,"*",1000,40.09283,"Promoter",12,31958476,32061235,102760,2,"19088","ENSMUST00000003079","11",0,"ENSMUSG00000002997","Prkar2b","peak:4444"
"4445","chr17",46160969,46161270,302,"*",1000,40.09065,"Promoter",17,46161032,46169368,8337,1,"56055","ENSMUST00000169383","7",0,"ENSMUSG00000023952","Gtpbp2","peak:4445"
"4446","chr1",166001367,166003667,2301,"*",1000,40.0901,"Promoter",1,165865154,166002678,137525,2,"18986","ENSMUST00000160260","8",0,"ENSMUSG00000026565","Pou2f1","peak:4446"
"4447","chr6",5298109,5298558,450,"*",1000,40.08919,"Promoter",6,5264147,5298455,34309,2,"330260","ENSMUST00000057792","8",0,"ENSMUSG00000032667","Pon2","peak:4447"
"4448","chr19",4191860,4192775,916,"*",1000,40.08794,"Promoter",19,4192065,4195420,3356,1,"19045","ENSMUST00000046094","5",0,"ENSMUSG00000040385","Ppp1ca","peak:4448"
"4449","chr19",11965541,11966518,978,"*",1000,40.07836,"Promoter",19,11965941,11994112,28172,1,"76303","ENSMUST00000025590","10",0,"ENSMUSG00000024687","Osbp","peak:4449"
"4450","chr9",108596843,108597907,1065,"*",1000,40.07572,"Promoter",9,108578862,108597667,18806,2,"74443","ENSMUST00000006853","10",0,"ENSMUSG00000006675","P4htm","peak:4450"
"4451","chr1",136259652,136261046,1395,"*",1000,40.07571,"Promoter",1,136259797,136260873,1077,2,"383563","ENSMUST00000086395","6",0,"ENSMUSG00000052759","Gpr25","peak:4451"
"4452","chr3",88335834,88336824,991,"*",1000,40.07571,"Promoter",3,88336260,88362338,26079,1,"229512","ENSMUST00000001451","10",0,"ENSMUSG00000001415","Smg5","peak:4452"
"4453","chr5",33982794,33984112,1319,"*",1000,40.07571,"Promoter",5,33983433,33985013,1581,1,"381633","ENSMUST00000094869","11",0,"ENSMUSG00000070858","Gm1673","peak:4453"
"4454","chr9",99568157,99569056,900,"*",1000,40.07571,"Promoter",9,99478372,99568899,90528,2,"74125","ENSMUST00000035043","11",0,"ENSMUSG00000032468","Armc8","peak:4454"
"4455","chr8",79028957,79030471,1515,"*",1000,40.06481,"Promoter",8,79028587,79190856,162270,1,"622675","ENSMUST00000238669","1",370,"ENSMUSG00000071064","Zfp827","peak:4455"
"4456","chr11",106919891,106921090,1200,"*",1000,40.05724,"Promoter",11,106820066,106920715,100650,2,"66313","ENSMUST00000103067","9",0,"ENSMUSG00000018363","Smurf2","peak:4456"
"4457","chr17",27655362,27656112,751,"*",1000,40.05649,"Promoter",17,27655509,27708659,53151,1,"23969","ENSMUST00000114873","7",0,"ENSMUSG00000040276","Pacsin1","peak:4457"
"4458","chr4",116220736,116221603,868,"*",1000,40.05571,"Promoter",4,116221618,116259576,37959,1,"18710","ENSMUST00000147292","7",-15,"ENSMUSG00000028698","Pik3r3","peak:4458"
"4459","chr16",22009428,22010079,652,"*",1000,40.05385,"Promoter",16,22009484,22049269,39786,1,"75826","ENSMUST00000023561","7",0,"ENSMUSG00000022855","Senp2","peak:4459"
"4460","chr8",84715780,84716468,689,"*",1000,40.05298,"Exon (ENSMUST00000109764.7/18032, exon 9 of 11)",8,84708634,84714068,5435,2,"18032","ENSMUST00000132236","1",-1712,"ENSMUSG00000001911","Nfix","peak:4460"
"4461","chr6",97148424,97149180,757,"*",1000,40.04839,"Promoter",6,97111972,97148883,36912,2,"101351","ENSMUST00000135187","7",0,"ENSMUSG00000035245","Eogt","peak:4461"
"4462","chr12",36041809,36042777,969,"*",1000,40.04615,"Promoter",12,36014557,36042489,27933,2,"66109","ENSMUST00000020896","16",0,"ENSMUSG00000020577","Tspan13","peak:4462"
"4463","chr6",58640344,58640790,447,"*",1000,40.04615,"Promoter",6,58640546,58664783,24238,1,"26357","ENSMUST00000124542","1",0,"ENSMUSG00000029802","Abcg2","peak:4463"
"4464","chr19",3323119,3324186,1068,"*",1000,40.04552,"Promoter",19,3323285,3385733,62449,1,"12894","ENSMUST00000025835","5",0,"ENSMUSG00000024900","Cpt1a","peak:4464"
"4465","chr3",31094015,31095925,1911,"*",1000,40.04272,"Promoter",3,31095058,31122573,27516,1,"20482","ENSMUST00000118470","7",0,"ENSMUSG00000027660","Skil","peak:4465"
"4466","chr6",95718221,95719075,855,"*",1000,40.04233,"Promoter",6,95473009,95718800,245792,2,"20917","ENSMUST00000204224","2",0,"ENSMUSG00000061838","Suclg2","peak:4466"
"4467","chr12",112941846,112942380,535,"*",1000,40.03591,"Promoter",12,112934291,112942124,7834,2,"66174","ENSMUST00000221397","1",0,"ENSMUSG00000002804","Nudt14","peak:4467"
"4468","chr2",128698780,128699478,699,"*",1000,40.03493,"Promoter",2,128698956,128802894,103939,1,"17289","ENSMUST00000014505","4",0,"ENSMUSG00000014361","Mertk","peak:4468"
"4469","chr4",19569459,19570252,794,"*",1000,40.03493,"Promoter",4,19519254,19570108,50855,2,"70568","ENSMUST00000029885","4",0,"ENSMUSG00000028228","Cpne3","peak:4469"
"4470","chr5",52115591,52116352,762,"*",1000,40.03493,"Distal Intergenic",5,52135902,52136017,116,2,"102466648","ENSMUST00000183815","1",19665,"ENSMUSG00000098726","Mir6417","peak:4470"
"4471","chr7",87246394,87246901,508,"*",1000,40.03493,"Promoter",7,87246649,87287981,41333,1,"50490","ENSMUST00000124269","7",0,"ENSMUSG00000030562","Nox4","peak:4471"
"4472","chr7",80026928,80027580,653,"*",1000,40.03466,"Promoter",7,80027814,80081169,53356,1,"209225","ENSMUST00000206104","1",-234,"ENSMUSG00000048897","Zfp710","peak:4472"
"4473","chr12",52097651,52097988,338,"*",1000,40.03168,"Promoter",12,52097737,52312744,215008,1,"76826","ENSMUST00000040090","15",0,"ENSMUSG00000035142","Nubpl","peak:4473"
"4474","chr4",123239462,123240226,765,"*",1000,40.02907,"Promoter",4,123239757,123245989,6233,1,"56198","ENSMUST00000127172","1",0,"ENSMUSG00000032744","Heyl","peak:4474"
"4475","chr7",45570136,45570674,539,"*",1000,40.02413,"Promoter",7,45570153,45589711,19559,1,"12036","ENSMUST00000033098","15",0,"ENSMUSG00000030826","Bcat2","peak:4475"
"4476","chr6",6578208,6578649,442,"*",1000,40.02224,"Promoter",6,6557294,6578658,21365,2,"20422","ENSMUST00000041111","9",9,"ENSMUSG00000042541","Sem1","peak:4476"
"4477","chr16",27388752,27389379,628,"*",1000,40.02158,"Promoter",16,27388869,27452218,63350,1,"67501","ENSMUST00000100026","9",0,"ENSMUSG00000038127","Ccdc50","peak:4477"
"4478","chr1",55236975,55237774,800,"*",1000,40.02127,"Promoter",1,55237177,55248470,11294,1,"212679","ENSMUST00000061334","9",0,"ENSMUSG00000046994","Mars2","peak:4478"
"4479","chr5",146832899,146833485,587,"*",1000,40.02095,"Promoter",5,146833146,146834605,1460,1,"19933","ENSMUST00000154768","1",0,"ENSMUSG00000041453","Rpl21","peak:4479"
"4480","chr8",123477594,123478216,623,"*",1000,40.01655,"Promoter",8,123477903,123503916,26014,1,"114896","ENSMUST00000001520","12",0,"ENSMUSG00000031967","Afg3l1","peak:4480"
"4481","chr8",109868267,109869405,1139,"*",1000,40.0157,"Promoter",8,109868542,109904971,36430,1,"244650","ENSMUST00000154262","1",0,"ENSMUSG00000031732","Phlpp2","peak:4481"
"4482","chr9",67840129,67840628,500,"*",1000,40.0157,"Promoter",9,67840396,67995638,155243,1,"320528","ENSMUST00000077879","6",0,"ENSMUSG00000035284","Vps13c","peak:4482"
"4483","chr11",116030239,116030756,518,"*",1000,40.01275,"Promoter",11,116030322,116061214,30893,1,"217331","ENSMUST00000021116","11",0,"ENSMUSG00000020770","Unk","peak:4483"
"4484","chr17",29489951,29492235,2285,"*",1000,40.00521,"Promoter",17,29490753,29496112,5360,1,"18712","ENSMUST00000024811","8",0,"ENSMUSG00000024014","Pim1","peak:4484"
"4485","chr18",60747871,60749063,1193,"*",1000,39.99566,"Promoter",18,60685963,60748650,62688,2,"15531","ENSMUST00000237783","1",0,"ENSMUSG00000054008","Ndst1","peak:4485"
"4486","chr10",80754897,80755769,873,"*",1000,39.99029,"Promoter",10,80755206,80795461,40256,1,"208266","ENSMUST00000105336","8",0,"ENSMUSG00000061589","Dot1l","peak:4486"
"4487","chr2",25210996,25211467,472,"*",1000,39.98764,"Promoter",2,25199716,25211381,11666,2,"58202","ENSMUST00000128876","7",0,"ENSMUSG00000013465","Nelfb","peak:4487"
"4488","chr15",77840781,77842630,1850,"*",1000,39.98754,"Promoter",15,77760587,77842175,81589,2,"17886","ENSMUST00000016771","12",0,"ENSMUSG00000022443","Myh9","peak:4488"
"4489","chr4",45084101,45084902,802,"*",1000,39.98538,"Promoter",4,45034247,45084604,50358,2,"269529","ENSMUST00000052236","12",0,"ENSMUSG00000048232","Fbxo10","peak:4489"
"4490","chr1",177441422,177443309,1888,"*",1000,39.97601,"Promoter",1,177442351,177447237,4887,1,"30928","ENSMUST00000195002","1",0,"ENSMUSG00000063659","Zbtb18","peak:4490"
"4491","chr4",119108471,119109401,931,"*",1000,39.976,"Promoter",4,119108711,119137983,29273,1,"20525","ENSMUST00000030398","9",0,"ENSMUSG00000028645","Slc2a1","peak:4491"
"4492","chr9",106788795,106789289,495,"*",1000,39.976,"Promoter",9,106688082,106789194,101113,2,"81000","ENSMUST00000046502","6",0,"ENSMUSG00000040661","Rad54l2","peak:4492"
"4493","chr1",178530054,178530942,889,"*",1000,39.97493,"Promoter",1,178529125,178939200,410076,1,"269152","ENSMUST00000161017","7",929,"ENSMUSG00000026494","Kif26b","peak:4493"
"4494","chr13",110394490,110395629,1140,"*",1000,39.97493,"Promoter",13,110395046,110400844,5799,1,"20620","ENSMUST00000022212","8",0,"ENSMUSG00000021701","Plk2","peak:4494"
"4495","chr2",167661020,167662159,1140,"*",1000,39.96923,"Promoter",2,167642608,167661556,18949,2,"407243","ENSMUST00000006587","6",0,"ENSMUSG00000090213","Tmem189","peak:4495"
"4496","chr13",101767067,101768891,1825,"*",1000,39.96874,"Promoter",13,101680563,101768217,87655,2,"18708","ENSMUST00000055518","12",0,"ENSMUSG00000041417","Pik3r1","peak:4496"
"4497","chr9",96119192,96119818,627,"*",1000,39.96539,"Promoter",9,96119362,96180190,60829,1,"235533","ENSMUST00000085217","11",0,"ENSMUSG00000041440","Gk5","peak:4497"
"4498","chr16",90220383,90221331,949,"*",1000,39.96446,"Promoter",16,90220754,90226329,5576,1,"20655","ENSMUST00000023707","10",0,"ENSMUSG00000022982","Sod1","peak:4498"
"4499","chr2",11501177,11502239,1063,"*",1000,39.9644,"Promoter",2,11471791,11502101,30311,2,"170768","ENSMUST00000179584","7",0,"ENSMUSG00000026773","Pfkfb3","peak:4499"
"4500","chrX",94234238,94235547,1310,"*",1000,39.95992,"Promoter",20,94234599,94238157,3559,1,"236904","ENSMUST00000150999","7",0,"ENSMUSG00000043929","Klhl15","peak:4500"
"4501","chr6",120293814,120295087,1274,"*",1000,39.9557,"Promoter",6,120203094,120294559,91466,2,"330406","ENSMUST00000057283","7",0,"ENSMUSG00000041372","B4galnt3","peak:4501"
"4502","chr8",107095979,107096620,642,"*",1000,39.9557,"Promoter",8,107096025,107096106,82,2,"102465652","ENSMUST00000184187","1",0,"ENSMUSG00000098671","Mir7075","peak:4502"
"4503","chr8",104340530,104341382,853,"*",1000,39.9556,"Promoter",8,104340594,104347672,7079,1,"68119","ENSMUST00000034343","4",0,"ENSMUSG00000031875","Cmtm3","peak:4503"
"4504","chr12",110446335,110447741,1407,"*",1000,39.95029,"Promoter",12,110447120,110450999,3880,1,"26931","ENSMUST00000222276","1",0,"ENSMUSG00000017843","Ppp2r5c","peak:4504"
"4505","chr8",120487432,120488468,1037,"*",1000,39.93648,"Promoter",8,120488447,120581390,92944,1,"382034","ENSMUST00000034279","15",0,"ENSMUSG00000031822","Gse1","peak:4505"
"4506","chr7",27329363,27329844,482,"*",1000,39.93414,"Exon (ENSMUST00000038618.12/108075, exon 6 of 33)",7,27311715,27333604,21890,2,"108075","ENSMUST00000118961","2",3760,NA,NA,"peak:4506"
"4507","chr11",77512798,77513721,924,"*",1000,39.92952,"Promoter",11,77508099,77513370,5272,2,"216964","ENSMUST00000060417","10",0,"ENSMUSG00000044328","Trp53i13","peak:4507"
"4508","chr6",52639773,52640443,671,"*",1000,39.92097,"Promoter",6,52546228,52640389,94162,2,"58875","ENSMUST00000031788","8",0,"ENSMUSG00000029776","Hibadh","peak:4508"
"4509","chr1",16665135,16665651,517,"*",1000,39.91983,"Promoter",1,16665207,16678195,12989,1,"70397","ENSMUST00000177501","1",0,"ENSMUSG00000025940","Tmem70","peak:4509"
"4510","chr11",101784151,101785390,1240,"*",1000,39.91491,"Promoter",11,101769742,101785310,15569,2,"18612","ENSMUST00000164750","7",0,"ENSMUSG00000017724","Etv4","peak:4510"
"4511","chr17",72917589,72919568,1980,"*",1000,39.91429,"Promoter",17,72918305,72941947,23643,1,"77889","ENSMUST00000024857","13",0,"ENSMUSG00000024063","Lbh","peak:4511"
"4512","chr2",48813599,48814562,964,"*",1000,39.90858,"Promoter",2,48814109,48903269,89161,1,"11480","ENSMUST00000063886","3",0,"ENSMUSG00000052155","Acvr2a","peak:4512"
"4513","chr19",46304360,46306090,1731,"*",1000,39.90692,"Promoter",19,46303591,46305611,2021,2,"100503392","ENSMUST00000235942","1",0,"ENSMUSG00000118087","4833438C02Rik","peak:4513"
"4514","chr5",72913931,72915417,1487,"*",1000,39.90043,"Promoter",5,72914304,72978829,64526,1,"75991","ENSMUST00000144843","7",0,"ENSMUSG00000036087","Slain2","peak:4514"
"4515","chr15",76034165,76035141,977,"*",1000,39.89569,"Promoter",15,76034252,76037844,3593,1,"432964","ENSMUST00000187976","7",0,"ENSMUSG00000102018","Iqank1","peak:4515"
"4516","chr5",129908470,129908974,505,"*",1000,39.89569,"Promoter",5,129908540,129911281,2742,1,"69034","ENSMUST00000195766","5",0,"ENSMUSG00000095789","Nupr1l","peak:4516"
"4517","chr1",45795475,45795821,347,"*",1000,39.89509,"Promoter",1,45795503,45802355,6853,1,"73674","ENSMUST00000142145","1",0,"ENSMUSG00000025995","Wdr75","peak:4517"
"4518","chr15",84167633,84168518,886,"*",1000,39.89335,"Promoter",15,84168270,84168377,108,1,"102466642","ENSMUST00000184924","1",0,"ENSMUSG00000098882","Mir6392","peak:4518"
"4519","chr13",94788760,94789520,761,"*",1000,39.87997,"Promoter",13,94788910,94842922,54013,1,"21371","ENSMUST00000046644","6",0,"ENSMUSG00000042043","Tbca","peak:4519"
"4520","chr12",69724461,69725307,847,"*",1000,39.87957,"Promoter",12,69690433,69724873,34441,2,"217666","ENSMUST00000021370","9",0,"ENSMUSG00000020988","L2hgdh","peak:4520"
"4521","chr16",11133983,11134685,703,"*",1000,39.87851,"Promoter",16,11074911,11134650,59740,2,"106200","ENSMUST00000038424","13",0,"ENSMUSG00000022498","Txndc11","peak:4521"
"4522","chr13",58358681,58359378,698,"*",1000,39.87646,"Promoter",13,58287502,58359122,71621,2,"75050","ENSMUST00000225388","1",0,"ENSMUSG00000060176","Kif27","peak:4522"
"4523","chr11",103966549,103967168,620,"*",1000,39.87413,"Promoter",11,103966739,103985337,18599,1,"11841","ENSMUST00000057921","9",0,"ENSMUSG00000062421","Arf2","peak:4523"
"4524","chr4",109665700,109666528,829,"*",1000,39.86913,"Promoter",4,109660876,109665372,4497,2,"12580","ENSMUST00000063531","4",-328,"ENSMUSG00000028551","Cdkn2c","peak:4524"
"4525","chr11",60726791,60727549,759,"*",1000,39.86895,"Promoter",11,60714143,60727263,13121,2,"14248","ENSMUST00000002889","4",0,"ENSMUSG00000002812","Flii","peak:4525"
"4526","chr11",96977097,96977805,709,"*",1000,39.86617,"Promoter",11,96953341,96977711,24371,2,"78912","ENSMUST00000107624","7",0,"ENSMUSG00000018678","Sp2","peak:4526"
"4527","chr15",77956464,77956910,447,"*",1000,39.86551,"Promoter",15,77940522,77956722,16201,2,"239554","ENSMUST00000016696","12",0,"ENSMUSG00000016552","Foxred2","peak:4527"
"4528","chr11",97150426,97151505,1080,"*",1000,39.85725,"Promoter",11,97137099,97151036,13938,2,"73174","ENSMUST00000107614","7",0,"ENSMUSG00000038517","Tbkbp1","peak:4528"
"4529","chr3",145653091,145653880,790,"*",1000,39.8549,"Intron (ENSMUST00000197148.1/ENSMUST00000197148.1, intron 1 of 1)",3,145646976,145649981,3006,2,"16007","ENSMUST00000029846","4",-3110,"ENSMUSG00000028195","Ccn1","peak:4529"
"4530","chr8",111643438,111644046,609,"*",1000,39.8549,"Promoter",8,111643480,111670703,27224,1,"22640","ENSMUST00000212206","1",0,"ENSMUSG00000055835","Zfp1","peak:4530"
"4531","chr6",52230397,52230895,499,"*",1000,39.85425,"Promoter",6,52228247,52230532,2286,2,"723820","ENSMUST00000174115","1",0,"ENSMUSG00000038227","Hoxa9","peak:4531"
"4532","chr8",94875808,94876578,771,"*",1000,39.85265,"Promoter",8,94863860,94876330,12471,2,"114255","ENSMUST00000046461","8",0,"ENSMUSG00000040631","Dok4","peak:4532"
"4533","chr14",30654326,30654640,315,"*",1000,39.85113,"Promoter",14,30654360,30691317,36958,1,"328370","ENSMUST00000064230","15",0,"ENSMUSG00000052395","Rft1","peak:4533"
"4534","chr11",97186861,97188785,1925,"*",1000,39.84123,"Promoter",11,97159714,97187881,28168,2,"16211","ENSMUST00000001479","4",0,"ENSMUSG00000001440","Kpnb1","peak:4534"
"4535","chr1",182282077,182282942,866,"*",1000,39.83861,"Promoter",1,182275772,182282804,7033,2,"13244","ENSMUST00000035295","5",0,"ENSMUSG00000038633","Degs1","peak:4535"
"4536","chr17",24251091,24251851,761,"*",1000,39.83568,"Promoter",17,24222198,24251409,29212,2,"12449","ENSMUST00000115390","4",0,"ENSMUSG00000072082","Ccnf","peak:4536"
"4537","chr19",57314354,57315097,744,"*",1000,39.83568,"Promoter",19,57037251,57314919,277669,2,"226251","ENSMUST00000156316","7",0,"ENSMUSG00000025085","Ablim1","peak:4537"
"4538","chr2",30771329,30771979,651,"*",1000,39.83568,"Distal Intergenic",2,30795468,30796664,1197,2,"73598","ENSMUST00000130396","7",24685,"ENSMUSG00000044320","1700001O22Rik","peak:4538"
"4539","chr4",134128336,134129375,1040,"*",1000,39.83568,"Promoter",4,134127406,134128789,1384,2,"73723","ENSMUST00000030651","8",0,"ENSMUSG00000028843","Sh3bgrl3","peak:4539"
"4540","chr5",107721008,107722128,1121,"*",1000,39.83568,"Exon (ENSMUST00000031205.15/14581, exon 3 of 6)",5,107716657,107724343,7687,2,"14581","ENSMUST00000031205","15",2215,"ENSMUSG00000029275","Gfi1","peak:4540"
"4541","chr8",121116170,121116936,767,"*",1000,39.83568,"Promoter",8,121116171,121118895,2725,1,"14234","ENSMUST00000054691","7",0,"ENSMUSG00000046714","Foxc2","peak:4541"
"4542","chr9",82829727,82830383,657,"*",1000,39.83567,"Promoter",9,82829806,82847020,17215,1,"65099","ENSMUST00000034783","5",0,"ENSMUSG00000032251","Irak1bp1","peak:4542"
"4543","chr18",12941527,12941960,434,"*",1000,39.83137,"Promoter",18,12755314,12941841,186528,2,"64291","ENSMUST00000074352","10",0,"ENSMUSG00000044252","Osbpl1a","peak:4543"
"4544","chr1",75381539,75382603,1065,"*",1000,39.83025,"Promoter",1,75382114,75388345,6232,1,"11790","ENSMUST00000148515","7",0,"ENSMUSG00000026207","Speg","peak:4544"
"4545","chr5",24425002,24425893,892,"*",1000,39.8277,"Promoter",5,24425232,24440950,15719,1,"20535","ENSMUST00000080067","12",0,"ENSMUSG00000028962","Slc4a2","peak:4545"
"4546","chr6",28423390,28424221,832,"*",1000,39.82652,"Promoter",6,28423560,28426602,3043,1,"11844","ENSMUST00000020717","11",0,"ENSMUSG00000020440","Arf5","peak:4546"
"4547","chr17",35861042,35861596,555,"*",1000,39.82576,"Promoter",17,35861318,35865402,4085,1,"106582","ENSMUST00000074259","14",0,"ENSMUSG00000059791","Nrm","peak:4547"
"4548","chr15",81190075,81190868,794,"*",1000,39.82043,"Promoter",15,81012281,81190733,178453,2,"223701","ENSMUST00000134469","8",0,"ENSMUSG00000042292","Mrtfa","peak:4548"
"4549","chr16",32277388,32277914,527,"*",1000,39.81767,"Promoter",16,32277459,32289194,11736,1,"70238","ENSMUST00000155649","7",0,"ENSMUSG00000014074","Rnf168","peak:4549"
"4550","chr19",56721608,56724280,2673,"*",1000,39.81646,"Promoter",19,56722199,56725150,2952,1,"11554","ENSMUST00000038949","5",0,"ENSMUSG00000035283","Adrb1","peak:4550"
"4551","chr7",135715836,135716811,976,"*",1000,39.81646,"Promoter",7,135689784,135716361,26578,2,"17345","ENSMUST00000033310","8",0,"ENSMUSG00000031004","Mki67","peak:4551"
"4552","chr8",25976305,25976854,550,"*",1000,39.81646,"Promoter",8,25944453,25976753,32301,2,"52120","ENSMUST00000037609","7",0,"ENSMUSG00000037260","Hgsnat","peak:4552"
"4553","chr14",121378253,121379966,1714,"*",1000,39.81443,"Promoter",14,121286343,121379334,92992,2,"223255","ENSMUST00000079817","7",0,"ENSMUSG00000063410","Stk24","peak:4553"
"4554","chr6",52244943,52245614,672,"*",1000,39.81282,"Promoter",6,52245243,52249769,4527,1,"15397","ENSMUST00000134512","7",0,"ENSMUSG00000086427","Hoxa11os","peak:4554"
"4555","chr17",53689070,53689868,799,"*",1000,39.80985,"Promoter",17,53674786,53689333,14548,2,"72415","ENSMUST00000024736","13",0,"ENSMUSG00000023940","Sgo1","peak:4555"
"4556","chr11",106779086,106779655,570,"*",1000,39.8092,"Promoter",11,106768253,106779515,11263,2,"50776","ENSMUST00000021060","5",0,"ENSMUSG00000020718","Polg2","peak:4556"
"4557","chr16",30236312,30236605,294,"*",1000,39.80859,"Distal Intergenic",16,30256378,30267499,11122,2,"71756","ENSMUST00000064856","8",30894,"ENSMUSG00000023176","Cpn2","peak:4557"
"4558","chr9",74861636,74863140,1505,"*",1000,39.80777,"Promoter",9,74861921,74891781,29861,1,"15379","ENSMUST00000056006","10",0,"ENSMUSG00000043013","Onecut1","peak:4558"
"4559","chr1",93511604,93512552,949,"*",1000,39.80717,"Promoter",1,93512079,93621976,109898,1,"227377","ENSMUST00000120301","7",0,"ENSMUSG00000034066","Farp2","peak:4559"
"4560","chr4",55349578,55350803,1226,"*",1000,39.79604,"Promoter",4,55350043,55392237,42195,1,"19359","ENSMUST00000030134","8",0,"ENSMUSG00000028426","Rad23b","peak:4560"
"4561","chr3",89378341,89378965,625,"*",1000,39.78312,"3' UTR",3,89377644,89387189,9546,2,"22724","ENSMUST00000107433","7",8224,"ENSMUSG00000028042","Zbtb7b","peak:4561"
"4562","chr10",60106215,60107816,1602,"*",1000,39.77568,"Promoter",10,60106219,60127338,21120,1,"94214","ENSMUST00000138976","2",0,"ENSMUSG00000058297","Spock2","peak:4562"
"4563","chr13",44730784,44731240,457,"*",1000,39.77568,"Promoter",13,44730823,44920995,190173,1,"16468","ENSMUST00000044608","13",0,"ENSMUSG00000038518","Jarid2","peak:4563"
"4564","chr16",18586035,18587279,1245,"*",1000,39.77568,"Promoter",16,18580979,18586969,5991,2,"21380","ENSMUST00000232335","1",0,"ENSMUSG00000009097","Tbx1","peak:4564"
"4565","chr19",53676695,53677773,1079,"*",1000,39.77568,"Promoter",19,53677306,53865380,188075,1,"73713","ENSMUST00000164202","8",0,"ENSMUSG00000043639","Rbm20","peak:4565"
"4566","chr2",121289355,121289911,557,"*",1000,39.77568,"Promoter",2,121289600,121310832,21233,1,"17754","ENSMUST00000094639","9",0,"ENSMUSG00000027254","Map1a","peak:4566"
"4567","chr6",112696300,112696730,431,"*",1000,39.77568,"Promoter",6,112619850,112696686,76837,2,"58186","ENSMUST00000077088","10",0,"ENSMUSG00000030254","Rad18","peak:4567"
